direction,age_group,state,state_name,abbrev,rank_age_specific,rank_all_ages,rank_shift,share_age,share_all,rel_ratio
IN,65_PLUS,42,Pennsylvania,PA,9,8,-1,0.029834,0.03392,0.8795
IN,65_PLUS,44,Rhode Island,RI,49,44,-5,0.002225,0.005312,0.4189
IN,65_PLUS,45,South Carolina,SC,8,14,6,0.033306,0.026448,1.2593
IN,65_PLUS,46,South Dakota,SD,45,50,5,0.00413,0.003431,1.2036
IN,65_PLUS,47,Tennessee,TN,12,13,1,0.024107,0.026954,0.8943
IN,65_PLUS,48,Texas,TX,2,2,0,0.056195,0.075654,0.7428
IN,65_PLUS,49,Utah,UT,35,28,-7,0.007797,0.013271,0.5875
IN,65_PLUS,50,Vermont,VT,47,48,1,0.00261,0.003784,0.6897
IN,65_PLUS,51,Virginia,VA,6,6,0,0.035359,0.036756,0.962
IN,65_PLUS,53,Washington,WA,11,10,-1,0.02455,0.031354,0.783
IN,65_PLUS,54,West Virginia,WV,43,41,-2,0.006037,0.006268,0.9632
IN,65_PLUS,55,Wisconsin,WI,22,24,2,0.017129,0.01679,1.0202
IN,65_PLUS,56,Wyoming,WY,48,49,1,0.002368,0.003553,0.6666
OUT,18_24,01,Alabama,AL,28,25,-3,0.013659,0.012977,1.0525
OUT,18_24,02,Alaska,AK,44,41,-3,0.005085,0.005599,0.9082
OUT,18_24,04,Arizona,AZ,16,14,-2,0.023533,0.025651,0.9174
OUT,18_24,05,Arkansas,AR,39,36,-3,0.007037,0.007762,0.9066
OUT,18_24,06,California,CA,1,1,0,0.083942,0.092813,0.9044
OUT,18_24,08,Colorado,CO,14,12,-2,0.026889,0.029191,0.9211
OUT,18_24,09,Connecticut,CT,26,26,0,0.015109,0.012882,1.1729
OUT,18_24,10,Delaware,DE,45,45,0,0.004769,0.004277,1.1152
OUT,18_24,12,Florida,FL,3,2,-1,0.051643,0.070244,0.7352
OUT,18_24,13,Georgia,GA,11,9,-2,0.029391,0.031495,0.9332
OUT,18_24,15,Hawaii,HI,41,39,-2,0.005461,0.006907,0.7908
OUT,18_24,16,Idaho,ID,32,34,2,0.009897,0.008375,1.1818
OUT,18_24,17,Illinois,IL,5,5,0,0.049793,0.040995,1.2146
OUT,18_24,18,Indiana,IN,19,21,2,0.020841,0.018198,1.1452
OUT,18_24,19,Iowa,IA,30,33,3,0.010926,0.010042,1.088
OUT,18_24,20,Kansas,KS,27,30,3,0.013927,0.011569,1.2038
