model_id,dv,ivs,n_ivs,adj_r2,aic,bic,max_vif,f_stat,f_p,max_cooks_d,n_influential
M18_2IV_COMMUTE_MED+POP_DENS,REL_IN_18_24,COMMUTE_MED + POP_DENS,2,0.254,-15.95,-10.22,1.55,9.3428,0.000383,1.0332,5
M18_3IV_NRI_RISK_INDEX+TRANSIT_SHARE+POP_DENS,REL_IN_18_24,NRI_RISK_INDEX + TRANSIT_SHARE + POP_DENS,3,0.2538,-15.02,-7.37,1.39,6.5563,0.000876,0.5989,5
M18_3IV_NRI_RISK_INDEX+TRANSIT_SHARE+PRIV_AVG_PAY,REL_IN_18_24,NRI_RISK_INDEX + TRANSIT_SHARE + PRIV_AVG_PAY,3,0.2538,-15.01,-7.37,2.06,6.5549,0.000877,0.1244,3
M18_3IV_COMMUTE_MED+BA_PLUS+PRIV_AVG_PAY,REL_IN_18_24,COMMUTE_MED + BA_PLUS + PRIV_AVG_PAY,3,0.2534,-14.99,-7.34,2.7,6.5428,0.000888,0.3293,4
M18_3IV_NRI_RISK_INDEX+PERMITS+POP_DENS,REL_IN_18_24,NRI_RISK_INDEX + PERMITS + POP_DENS,3,0.2525,-14.93,-7.28,1.4,6.5166,0.000912,0.5506,5
M18_2IV_VACANCY_RATE+PRIV_AVG_PAY,REL_IN_18_24,VACANCY_RATE + PRIV_AVG_PAY,2,0.251,-15.75,-10.02,1.1,9.2109,0.000422,0.1496,4
M18_3IV_NRI_RISK_INDEX+MED_RENT+PERMITS,REL_IN_18_24,NRI_RISK_INDEX + MED_RENT + PERMITS,3,0.2505,-14.8,-7.15,1.83,6.4598,0.000965,0.1702,3
M18_3IV_COMMUTE_MED+NRI_RISK_INDEX+MED_RENT,REL_IN_18_24,COMMUTE_MED + NRI_RISK_INDEX + MED_RENT,3,0.2495,-14.73,-7.08,2.04,6.4297,0.000995,0.1882,4
M18_2IV_COMMUTE_MED+PERMITS,REL_IN_18_24,COMMUTE_MED + PERMITS,2,0.2474,-15.51,-9.77,1.16,9.0518,0.000473,0.2485,5
M18_3IV_PERMITS+VACANCY_RATE+PRIV_AVG_PAY,REL_IN_18_24,PERMITS + VACANCY_RATE + PRIV_AVG_PAY,3,0.2418,-14.22,-6.57,1.61,6.2088,0.001245,0.312,5
